,num_ratings,num_users,num_movies,name,algo_name,rmse_all,increase_from_baseline_rmse_all,rmse_non-boycott,increase_from_baseline_rmse_non-boycott,rmse_boycott,increase_from_baseline_rmse_boycott,rmse_all-like-boycott,increase_from_baseline_rmse_all-like-boycott,ndcg10_all,increase_from_baseline_ndcg10_all,ndcg10_non-boycott,increase_from_baseline_ndcg10_non-boycott,ndcg10_boycott,increase_from_baseline_ndcg10_boycott,ndcg10_all-like-boycott,increase_from_baseline_ndcg10_all-like-boycott,ndcg5_all,ndcg5_non-boycott,ndcg5_boycott,ndcg5_all-like-boycott,ndcgfull_all,ndcgfull_non-boycott,ndcgfull_boycott,ndcgfull_all-like-boycott,fit_time_all,fit_time_non-boycott,fit_time_boycott,fit_time_all-like-boycott,test_times_all,test_times_non-boycott,test_times_boycott,test_times_all-like-boycott,num_tested_all,num_tested_non-boycott,num_tested_boycott,num_tested_all-like-boycott
0000_KNNBaseline_item_msd,986608,6040,3704,Under 18 excluded,KNNBaseline_item_msd,0.8860855382808424,0.000606912807244453,0.8828269457734663,-0.0026516797001315817,0.9956270898363698,0.11014846436277193,0.9956270898363698,0.11014846436277193,0.7914619853356346,0.00013394463588689565,0.7925972360539012,0.001269195354153485,0.7605706136738631,-0.030757427025884576,0.7605706136738631,-0.030757427025884576,0.783364538381582,0.7850501975295773,0.7392986047613936,0.7392986047613936,0.908295307774611,0.9092224969973323,0.883991815287334,0.883991815287334,14.779062414169312,14.779062414169312,14.779062414169312,14.779062414169312,72.93763432502746,147.17724919319153,150.08128457069398,151.1061086654663,200041.8,194599.6,5442.2,5442.2
0000_SVD,986608,6040,3705,Under 18 excluded,SVD,0.874758994989919,0.0014674804034904287,0.8714370853437066,-0.0018544292427220554,0.9862282256388657,0.11293671105243708,0.9862282256388657,0.11293671105243708,0.7931160846254721,-0.0014771546848242334,0.7936414341246636,-0.0009518051856327592,0.7789531650379183,-0.015640074272378013,0.7789531650379183,-0.015640074272378013,0.7846023637437387,0.7856579962071107,0.7567683499542216,0.7567683499542216,0.9089840630354669,0.9095716446924118,0.8935764407988668,0.8935764407988668,52.01266050338745,52.01266050338745,52.01266050338745,52.01266050338745,9.358580923080444,15.174626684188842,16.632950162887575,16.71372585296631,200041.8,194599.6,5442.2,5442.2
0001_KNNBaseline_item_msd,908434,6040,3687,18-24 excluded,KNNBaseline_item_msd,0.8883427438658824,0.0028641183922845093,0.8779566042691762,-0.007522021204421692,0.9331535364854119,0.04767491101181398,0.9331535364854119,0.04767491101181398,0.7887321566125614,-0.002595884087186362,0.7907236963920357,-0.0006043443077120569,0.7798804879770943,-0.011447552722653409,0.7798804879770943,-0.011447552722653409,0.7810147635223063,0.7833271389470606,0.7707255656557974,0.7707255656557974,0.9074373386602066,0.9088934723254474,0.9009220176782831,0.9009220176782831,13.643277549743653,13.643277549743653,13.643277549743653,13.643277549743653,69.29495153427123,129.75585079193115,139.0632216453552,147.5094335079193,200041.8,163334.6,36707.2,36707.2
0001_SVD,908434,6040,3684,18-24 excluded,SVD,0.8812804119487702,0.00798889736234154,0.870013300940518,-0.0032782136459106326,0.9297666658613585,0.05647515127492986,0.9297666658613585,0.05647515127492986,0.7882855066323311,-0.00630773267796525,0.7905043510105253,-0.004088888299771054,0.7784633143394275,-0.016129924970868847,0.7784633143394275,-0.016129924970868847,0.7801335883368936,0.7825238731301644,0.769466040784056,0.769466040784056,0.9075132199288405,0.9091082500181557,0.9003697838213386,0.9003697838213386,48.40189962387085,48.40189962387085,48.40189962387085,48.40189962387085,8.03508014678955,14.580282258987427,16.394628953933715,19.32146487236023,200041.8,163334.6,36707.2,36707.2
0002_KNNBaseline_item_msd,802466,6040,3690,25-34 excluded,KNNBaseline_item_msd,0.892444610748182,0.006965985274584141,0.8917281452107314,0.006249519737133502,0.8935380454640628,0.008059419990464889,0.8935380454640628,0.008059419990464889,0.7865127487712301,-0.0048152919285175955,0.7877041021812878,-0.0036239385184598794,0.784408707253583,-0.006919333446164688,0.784408707253583,-0.006919333446164688,0.7787752310853323,0.7790695081780625,0.7782280351055932,0.7782280351055932,0.9069065216071289,0.9064701840534424,0.9077272739324757,0.9077272739324757,11.448494243621827,11.448494243621827,11.448494243621827,11.448494243621827,76.9987093448639,132.8017307281494,157.55795927047728,187.51268372535705,200041.8,120930.6,79111.2,79111.2
0002_SVD,802466,6040,3688,25-34 excluded,SVD,0.8880839229314518,0.014792408345023156,0.8848322150929219,0.011540700506493251,0.8930325824074025,0.019741067820973845,0.8930325824074025,0.019741067820973845,0.7846760220226119,-0.009917217287684466,0.7876082261221541,-0.006985013188142264,0.7795325505892381,-0.015060688721058257,0.7795325505892381,-0.015060688721058257,0.7767713891312333,0.7791442541340754,0.7723951715373824,0.7723951715373824,0.906025530526876,0.9064418861255172,0.9052419666916244,0.9052419666916244,39.65802683830261,39.65802683830261,39.65802683830261,39.65802683830261,4.630354881286621,8.537900066375732,10.474280500411988,12.618279647827148,200041.8,120930.6,79111.2,79111.2
0003_KNNBaseline_item_msd,900706,6040,3697,35-44 excluded,KNNBaseline_item_msd,0.8881196775298813,0.0026410520562833995,0.8914411919022877,0.005962566428689753,0.874612278889872,-0.010866346583725872,0.874612278889872,-0.010866346583725872,0.7881757628519603,-0.003152277847787377,0.7906152721455142,-0.0007127685542335227,0.7781847294347813,-0.013143311264966373,0.7781847294347813,-0.013143311264966373,0.7805875355167876,0.783007009384268,0.7707535401763745,0.7707535401763745,0.9072924454444966,0.9077652198880852,0.9053712435788344,0.9053712435788344,12.99368929862976,12.99368929862976,12.99368929862976,12.99368929862976,69.4123125076294,126.33794531822204,136.55526871681212,145.2517029762268,200041.8,160241.2,39800.6,39800.6
0003_SVD,900706,6040,3700,35-44 excluded,SVD,0.8796139365684112,0.006322421981982629,0.8812176754634162,0.007926160876987609,0.8731221648392223,-0.00016934974720628215,0.8731221648392223,-0.00016934974720628215,0.7886787097351021,-0.005914529575194227,0.7917970940637385,-0.002796145246557802,0.7760036683233162,-0.01858957098698011,0.7760036683233162,-0.01858957098698011,0.7799186301593815,0.7826419247618572,0.7688329457393341,0.7688329457393341,0.9076271044097558,0.9083701030966866,0.9046088652289892,0.9046088652289892,43.43839454650879,43.43839454650879,43.43839454650879,43.43839454650879,6.909221887588501,11.19097170829773,12.954596614837646,14.212259006500243,200041.8,160241.2,39800.6,39800.6
0004_KNNBaseline_item_msd,958390,6040,3702,45-49 excluded,KNNBaseline_item_msd,0.8866709089467386,0.0011922834731407095,0.8879384965380339,0.0024598710644360144,0.8726461777065296,-0.012832447767068267,0.8726461777065296,-0.012832447767068267,0.7901439582383316,-0.0011840824614161027,0.7907033767755247,-0.0006246639242230012,0.7843147413144289,-0.007013299385318805,0.7843147413144289,-0.007013299385318805,0.7821535372778811,0.7825877336350417,0.7778313555470352,0.7778313555470352,0.9079244260298219,0.9079753784932759,0.9074166861741677,0.9074166861741677,14.125580453872681,14.125580453872681,14.125580453872681,14.125580453872681,70.0622148513794,137.20959119796754,146.3900414943695,149.84487848281861,200041.8,183315.2,16726.6,16726.6
0004_SVD,958390,6040,3703,45-49 excluded,SVD,0.8758601405016154,0.0025686259151868063,0.8766985548383636,0.003407040251934945,0.8665965465170036,-0.006694968069425045,0.8665965465170036,-0.006694968069425045,0.7910137816557681,-0.003579457654528273,0.791999184620337,-0.002594054689959324,0.7807868636141826,-0.01380637569611376,0.7807868636141826,-0.01380637569611376,0.7835038212341104,0.7847282143769901,0.7711640133500377,0.7711640133500377,0.9082726881962163,0.9085947209358165,0.9050571224201747,0.9050571224201747,46.125404834747314,46.125404834747314,46.125404834747314,46.125404834747314,7.114375352859497,12.292210626602174,13.74614315032959,13.983352851867675,200041.8,183315.2,16726.6,16726.6
