,num_ratings,num_users,num_movies,name,algo_name,rmse_all,increase_from_baseline_rmse_all,rmse_non-boycott,increase_from_baseline_rmse_non-boycott,rmse_boycott,increase_from_baseline_rmse_boycott,rmse_like-boycott,increase_from_baseline_rmse_like-boycott,rmse_all-like-boycott,increase_from_baseline_rmse_all-like-boycott,ndcg10_all,increase_from_baseline_ndcg10_all,ndcg10_non-boycott,increase_from_baseline_ndcg10_non-boycott,ndcg10_boycott,increase_from_baseline_ndcg10_boycott,ndcg10_like-boycott,increase_from_baseline_ndcg10_like-boycott,ndcg10_all-like-boycott,increase_from_baseline_ndcg10_all-like-boycott,ndcg5_all,ndcg5_non-boycott,ndcg5_boycott,ndcg5_like-boycott,ndcg5_all-like-boycott,ndcgfull_all,ndcgfull_non-boycott,ndcgfull_boycott,ndcgfull_like-boycott,ndcgfull_all-like-boycott,fit_time_all,fit_time_non-boycott,fit_time_boycott,fit_time_like-boycott,fit_time_all-like-boycott,test_times_all,test_times_non-boycott,test_times_boycott,test_times_like-boycott,test_times_all-like-boycott,num_tested_all,num_tested_non-boycott,num_tested_boycott,num_tested_like-boycott,num_tested_all-like-boycott
0000_KNNBaseline_item_msd,613124,3874,3609,male users excluded,KNNBaseline_item_msd,0.9319885954791429,0.046484194834661485,0.8984210158955748,0.012916615251093333,0.9828137563258874,0.09730935568140597,0.8836823852464812,-0.0018220153980001985,0.9359030843002021,0.050398683655720644,0.7815364586865453,-0.009522249683332928,0.7871388730133964,-0.003919835356481882,0.7718911395805652,-0.019167568789313028,0.7935333513410192,0.0024746429711409723,0.7826891126961542,-0.008369595673724084,0.7733017826273144,0.7773586795510885,0.7661119181447009,0.7840569213862996,0.7750831803827121,0.9049557882253432,0.9055935779933509,0.9038140507713258,0.9091152527225548,0.9064646593359399,8.005786800384522,8.005786800384522,8.005786800384522,8.005786800384522,8.005786800384522,36.99549593925476,73.97657599449158,75.94993329048157,97.53985948562622,120.11970143318176,200041.8,122624.8,77417.0,73336.8,150753.8
0000_SVD,627336,3874,3646,male users excluded,SVD,0.9269236457285949,0.05383325401384531,0.8908656798077347,0.01777528809298512,0.9846110244556829,0.11152063274093338,0.8742829642975964,0.0011925725828468847,0.9304987558754874,0.0574083641607378,0.7789268639068014,-0.01501902398805488,0.7832678051611746,-0.01067808273368176,0.7714582281977316,-0.02248765969712474,0.7881063886749612,-0.005839499219895128,0.7797569725289503,-0.014188915365906052,0.7713577501204316,0.7756260781584986,0.7638129337520906,0.7815144951250874,0.7726500128036988,0.9042459272144029,0.9053348971181505,0.9022991677923203,0.9083413018530224,0.90531871673022,27.355717992782594,27.355717992782594,27.355717992782594,27.355717992782594,27.355717992782594,3.5655431747436523,6.781274318695068,8.679994058609008,10.132588052749634,12.695918893814087,200041.8,125467.2,74574.6,76179.2,150753.8
0001_KNNBaseline_item_msd,879826,5186,3695,female users excluded,KNNBaseline_item_msd,0.8973258696376056,0.011821468993124196,0.8809607639738785,-0.00454363667060298,1.0088988350631767,0.12339443441869524,0.9128226308450798,0.027318230200598315,0.9609603759436046,0.07545597529912318,0.7874688183845242,-0.0035898899853540334,0.7921452221995986,0.0010865138297203591,0.7564663278166105,-0.03459238055326774,0.7743456100819385,-0.016713098287939765,0.7655563164790989,-0.025502391890779297,0.7797474789097614,0.7842198713292302,0.7519237515799628,0.7639314304833689,0.7579654382807491,0.9070526026864109,0.9090424469696912,0.8949748854829631,0.8986977146783035,0.8968369539198833,12.626410722732544,12.626410722732544,12.626410722732544,12.626410722732544,12.626410722732544,57.72476420402527,113.71328897476197,115.26355233192444,121.72540946006775,128.79798336029052,200041.8,175965.2,24076.6,25211.4,49288.0
0001_SVD,874308,5186,3688,female users excluded,SVD,0.8897668909785269,0.016676499263777345,0.8704621773827625,-0.002628214331987011,1.0137228692154265,0.14063247750067698,0.9077404949884011,0.03465010327365159,0.963349294526159,0.09025890281140947,0.7895271321529747,-0.004418755741881664,0.793851760005764,-9.41278890923547e-05,0.7612155734247995,-0.03273031447005681,0.7792539124546114,-0.01469197544024492,0.7703255527879176,-0.023620335106938728,0.7815694898705583,0.7859040020806602,0.754808665352789,0.7694791920065256,0.7621487707451238,0.9076263675518164,0.9097348684588242,0.8948157096125609,0.9025239455900016,0.8986729911757692,37.92860507965088,37.92860507965088,37.92860507965088,37.92860507965088,37.92860507965088,4.2859259128570555,8.298242044448852,9.773390769958496,10.344337940216064,11.386726188659669,200041.8,174861.6,25180.2,24107.8,49288.0
