,num_ratings,num_users,num_movies,name,algo_name,rmse_all,increase_from_baseline_rmse_all,rmse_non-boycott,increase_from_baseline_rmse_non-boycott,rmse_boycott,increase_from_baseline_rmse_boycott,rmse_like-boycott,increase_from_baseline_rmse_like-boycott,rmse_all-like-boycott,increase_from_baseline_rmse_all-like-boycott,ndcg10_all,increase_from_baseline_ndcg10_all,ndcg10_non-boycott,increase_from_baseline_ndcg10_non-boycott,ndcg10_boycott,increase_from_baseline_ndcg10_boycott,ndcg10_like-boycott,increase_from_baseline_ndcg10_like-boycott,ndcg10_all-like-boycott,increase_from_baseline_ndcg10_all-like-boycott,ndcg5_all,ndcg5_non-boycott,ndcg5_boycott,ndcg5_like-boycott,ndcg5_all-like-boycott,ndcgfull_all,ndcgfull_non-boycott,ndcgfull_boycott,ndcgfull_like-boycott,ndcgfull_all-like-boycott,fit_time_all,fit_time_non-boycott,fit_time_boycott,fit_time_like-boycott,fit_time_all-like-boycott,test_times_all,test_times_non-boycott,test_times_boycott,test_times_like-boycott,test_times_all-like-boycott,num_tested_all,num_tested_non-boycott,num_tested_boycott,num_tested_like-boycott,num_tested_all-like-boycott
0000_KNNBaseline_item_msd,813287,5738,3668,Top 10% contributors excluded,KNNBaseline_item_msd,0.9127430511000755,0.027310810902501648,0.8948023216109284,0.009370081413354603,0.9870113445964783,0.1015791043989045,0.8899073378816069,0.004475097684033091,0.9387516364993523,0.05331939630177851,0.7876418506537836,-0.0038568815893217367,0.7932780970791257,0.0017793648360203695,0.7116164322040743,-0.07988230003903096,0.7395839404880291,-0.051914791755076184,0.7256232999892617,-0.06587543225384362,0.7794535261170715,0.7826440004272813,0.7236194145265724,0.7565077673913276,0.7400907714158631,0.9072762812432245,0.9074393312947888,0.9041805012489419,0.9117341821591521,0.9079635844155429,9.354493999481202,9.354493999481202,9.354493999481202,9.354493999481202,9.354493999481202,44.03585877418518,87.98591170310974,89.9169686794281,106.94218721389771,124.97340340614319,200041.8,162657.4,37384.4,38897.0,76281.4
0000_SVD,804689,5738,3653,Top 10% contributors excluded,SVD,0.9141661868734848,0.0404177115494041,0.8890749616260356,0.015326486301954878,1.0108950797131524,0.13714660438907167,0.8676558303093376,-0.006092645014743159,0.9438038299848783,0.0700553546607976,0.7843606929997928,-0.009498286550103319,0.7904603160090156,-0.0033986635408805865,0.7022562082973719,-0.09160277125252425,0.739402885183605,-0.054456094366291175,0.7208602464734523,-0.07299873307644389,0.7757381496491917,0.7794116462501374,0.7115445276875182,0.7557559505951602,0.7336867775073785,0.9061719703146597,0.9064548814428226,0.9008006665792323,0.9127846352178155,0.9068025550048369,34.68404998779297,34.68404998779297,34.68404998779297,34.68404998779297,34.68404998779297,3.6899531364440916,7.485666084289551,9.25976004600525,10.033926677703857,11.657489776611328,200041.8,160937.8,39104.0,37177.4,76281.4
0001_KNNBaseline_item_msd,993023,5730,3704,Bottom 10% contributors excluded,KNNBaseline_item_msd,0.8855494810170013,0.00011724081942743325,0.8845274908929494,-0.0009047493046244748,1.0167086821421143,0.13127644194454047,0.9723351817766496,0.08690294157907574,0.9947325713911643,0.1093003311935905,0.7911998400044495,-0.00029889223865575687,0.7911536509689153,-0.00034508127418997336,0.8456432459002121,0.05414451365710682,0.9069571488112439,0.1154584165681386,0.8819271131089945,0.09042838086588922,0.7825830744539743,0.780108334132282,0.868767038309266,0.874676813098823,0.8717765635291578,0.9080482479364906,0.9072550347727569,0.9227947906631403,0.9244942136372369,0.9236425729175736,14.133922147750855,14.133922147750855,14.133922147750855,14.133922147750855,14.133922147750855,62.387583303451535,126.21193056106567,127.50126013755798,127.58012351989746,127.66427440643311,200041.8,198604.6,1437.2,1443.0,2880.2
0001_SVD,993024,5730,3705,Bottom 10% contributors excluded,SVD,0.8738747888815173,0.0001263135574365304,0.8726683011085437,-0.0010801742155370775,1.0268399906485308,0.1530915153244501,0.9648909184815965,0.09114244315751574,0.9962708217434877,0.12252234641940696,0.7930050114930407,-0.0008539680568554475,0.792966303772676,-0.0008926757772201865,0.8723846919129882,0.07852571236309203,0.8918350408770092,0.097976061327113,0.8889152565453029,0.09505627699540675,0.7845859704869479,0.7820712558327869,0.8718106991242829,0.8732611792265537,0.8725445361804074,0.9089797740576735,0.9084327185229182,0.9191532413064154,0.9232677510258449,0.9212107878279883,43.608364534378055,43.608364534378055,43.608364534378055,43.608364534378055,43.608364534378055,3.932742166519165,9.088540077209473,10.494033527374267,10.523560619354248,10.560862255096435,200041.8,198604.8,1437.0,1443.2,2880.2
