,num_ratings,num_users,num_movies,name,algo_name,rmse_all,increase_from_baseline_rmse_all,rmse_non-boycott,increase_from_baseline_rmse_non-boycott,rmse_boycott,increase_from_baseline_rmse_boycott,rmse_like-boycott,increase_from_baseline_rmse_like-boycott,rmse_all-like-boycott,increase_from_baseline_rmse_all-like-boycott,ndcg10_all,increase_from_baseline_ndcg10_all,ndcg10_non-boycott,increase_from_baseline_ndcg10_non-boycott,ndcg10_boycott,increase_from_baseline_ndcg10_boycott,ndcg10_like-boycott,increase_from_baseline_ndcg10_like-boycott,ndcg10_all-like-boycott,increase_from_baseline_ndcg10_all-like-boycott,ndcg5_all,ndcg5_non-boycott,ndcg5_boycott,ndcg5_like-boycott,ndcg5_all-like-boycott,ndcgfull_all,ndcgfull_non-boycott,ndcgfull_boycott,ndcgfull_like-boycott,ndcgfull_all-like-boycott,fit_time_all,fit_time_non-boycott,fit_time_boycott,fit_time_like-boycott,fit_time_all-like-boycott,test_times_all,test_times_non-boycott,test_times_boycott,test_times_like-boycott,test_times_all-like-boycott,num_tested_all,num_tested_non-boycott,num_tested_boycott,num_tested_like-boycott,num_tested_all-like-boycott
0000_KNNBaseline_item_msd,80814,943,1664,male users excluded,KNNBaseline_item_msd,0.9397833519933834,0.00847667143865305,0.9553646399781609,0.024057959423430586,0.9141732660447193,-0.017133414510011047,0.9322272430422602,0.000920562487529919,0.922948271238838,-0.008358409315892268,0.7724575210068695,-0.003906068222507053,0.7692215868679984,-0.007142002361378186,0.7777658279327972,0.0014022387034207107,0.7771240551048592,0.0007604658754826188,0.7774571712473854,0.0010935820180089095,0.7613202727107732,0.7614141149223387,0.7611468815234524,0.767426307095154,0.7642717682078171,0.8958197670476151,0.8953812574253177,0.8966149364043259,0.8980975033242569,0.897356933726269,1.2932610034942627,1.2932610034942627,1.2932610034942627,1.2932610034942627,1.2932610034942627,7.548453617095947,13.18412380218506,15.728240823745727,19.130101251602174,24.319785404205323,20000.0,12327.4,7672.6,7179.4,14852.0
0000_SVD,81645,943,1662,male users excluded,SVD,0.945407516115031,0.009510301847331704,0.9580593095238191,0.022162095256119785,0.9231402382421866,-0.012756976025512734,0.936087799002596,0.0001905847348966372,0.9297197580579907,-0.006177456209708665,0.7650974588316294,-0.006502945251455672,0.7615905552135068,-0.01000984886957823,0.7710245250191573,-0.0005758790639277533,0.768165072788072,-0.0034353312950130555,0.7696176919949081,-0.001982712088176908,0.7482262034582796,0.7465425029729655,0.7511114075098289,0.7494452579122209,0.7503034454643341,0.8905329324858506,0.8891398668471474,0.8930625112297006,0.8913006583062029,0.8921811169407221,5.757850074768067,5.757850074768067,5.757850074768067,5.757850074768067,5.757850074768067,0.26506385803222654,0.5620128154754639,0.7730131149291992,0.9833947658538819,1.1996377944946288,20000.0,12658.8,7341.2,7510.8,14852.0
0001_KNNBaseline_item_msd,93601,943,1657,female users excluded,KNNBaseline_item_msd,0.933645570252156,0.0023388896974256834,0.9220311153305328,-0.00927556522419748,1.0092283594214404,0.07792167886671009,0.9640416294300727,0.03273494887534234,0.9867194659265713,0.05541278537184102,0.7751628570161617,-0.0012007322132148168,0.7790599654239614,0.0026963761945848486,0.7465659079204061,-0.029797681308970425,0.7594600966603985,-0.01690349256897805,0.7535178645266533,-0.02284572470272328,0.7628487326751419,0.7657398416913036,0.7443097302007752,0.7516650254900231,0.7481643465190244,0.8956568230727925,0.8966650459678185,0.889660462787571,0.8908936381363797,0.8902820504796942,1.5418979167938232,1.5418979167938232,1.5418979167938232,1.5418979167938232,1.5418979167938232,8.048718595504761,15.924877738952636,17.043933153152466,18.23624677658081,20.13796443939209,20000.0,17436.4,2563.6,2584.4,5148.0
0001_SVD,93603,943,1665,female users excluded,SVD,0.9393210006899695,0.0034237864222701475,0.9272832019459388,-0.008614012321760511,1.0172323506029175,0.08133513633521816,0.9671454200157934,0.03124820574809406,0.9925144762849796,0.056617262017280234,0.7676282567064792,-0.0039721473766058946,0.7721288627150587,0.000528458631973594,0.7357918695749526,-0.035808534508132484,0.7537310022739565,-0.01786940180912855,0.7452869908736742,-0.02631341320941083,0.754959354790928,0.7568914512763831,0.7429933128332512,0.7467622815840542,0.7449075524443092,0.8921015308004815,0.8939026120830749,0.8813698077160754,0.8887496224790613,0.8850737261728645,6.710171031951904,6.710171031951904,6.710171031951904,6.710171031951904,6.710171031951904,0.27953352928161623,0.6982503890991211,0.8936643123626709,0.9665245532989502,1.0486316680908203,20000.0,17439.2,2560.8,2587.2,5148.0
