,num_ratings,num_users,num_movies,name,algo_name,rmse_all,rmse_non-boycott,rmse_boycott,rmse_all-like-boycott,mae_all,mae_non-boycott,mae_boycott,mae_all-like-boycott,prec10t4_all,prec10t4_non-boycott,prec10t4_boycott,prec10t4_all-like-boycott,prec5t4_all,prec5t4_non-boycott,prec5t4_boycott,prec5t4_all-like-boycott,rec10t4_all,rec10t4_non-boycott,rec10t4_boycott,rec10t4_all-like-boycott,rec5t4_all,rec5t4_non-boycott,rec5t4_boycott,rec5t4_all-like-boycott,ndcg10_all,ndcg10_non-boycott,ndcg10_boycott,ndcg10_all-like-boycott,ndcg5_all,ndcg5_non-boycott,ndcg5_boycott,ndcg5_all-like-boycott,ndcgfull_all,ndcgfull_non-boycott,ndcgfull_boycott,ndcgfull_all-like-boycott,fit_time_all,fit_time_non-boycott,fit_time_boycott,fit_time_all-like-boycott,test_times_all,test_times_non-boycott,test_times_boycott,test_times_all-like-boycott,num_tested_all,num_tested_non-boycott,num_tested_boycott,num_tested_all-like-boycott
0000_KNNBaseline_item_msd,999868,6038,3706,2 user sample,KNNBaseline_item_msd,0.8855726806076106,0.8855009845591709,1.0731076542251181,1.0731076542251181,0.6952687411186489,0.6952041682312523,0.8850751838255327,0.8850751838255327,0.8909161784143326,0.8909473600422592,0.7977777777777777,0.7977777777777777,0.8679657522581019,0.8680018720851915,0.76,0.76,0.637242763402686,0.6372555761813159,0.5989493364822313,0.5989493364822313,0.43891386094532203,0.43891711777301995,0.4291183487565067,0.4291183487565067,0.7914619849017824,0.7914866930859881,0.7372240123973743,0.7372240123973743,0.783519016040751,0.7835450346347453,0.710823836969889,0.710823836969889,0.9086050844269377,0.908615963637442,0.8757858689796683,0.8757858689796683,22.57341170310974,22.57341170310974,22.57341170310974,22.57341170310974,78.18927326202393,154.76478514671325,156.1409125328064,156.1428180217743,200041.8,199973.6,68.2,68.2
0000_SVD,999868,6038,3706,2 user sample,SVD,0.8730956629302602,0.8730205761777764,1.0677591572103444,1.0677591572103444,0.6855892244923817,0.6855217861707509,0.8830839269036088,0.8830839269036088,0.8944044444223234,0.8944497149181221,0.7588888888888888,0.7588888888888888,0.8718401167752405,0.8718858336493899,0.735,0.735,0.6397545439275641,0.6397743661915487,0.5804307059826057,0.5804307059826057,0.4415188652473886,0.4415214341068136,0.43391918028912346,0.43391918028912346,0.7940210960467236,0.7940644103769671,0.6632051418329149,0.6632051418329149,0.7853697368356467,0.7854098081752993,0.6733020820345479,0.6733020820345479,0.90956342935308,0.9095813621934308,0.8554626084917352,0.8554626084917352,53.25814304351807,53.25814304351807,53.25814304351807,53.25814304351807,3.7239574432373046,7.7437334060668945,8.839548683166504,8.841057968139648,200041.8,199973.6,68.2,68.2
0001_KNNBaseline_item_msd,1000132,6038,3706,2 user sample,KNNBaseline_item_msd,0.8853512956214061,0.8853548247161408,0.8301152363588727,0.8301152363588727,0.6951565427979307,0.6951563840786127,0.6958258064409315,0.6958258064409315,0.8917578995068343,0.8917217329660115,1.0,1.0,0.8683714015106754,0.8683803557294236,0.8416666666666668,0.8416666666666668,0.638623635864657,0.6385028907132465,1.0,1.0,0.43994542062252123,0.4398489242839565,0.7288095238095238,0.7288095238095238,0.7916947409963978,0.7916746226712369,,,0.7832001950779561,0.783191791734863,0.8208602784057559,0.8208602784057559,0.9082194033809262,0.9082249207478886,0.891572518360485,0.891572518360485,21.14894042015076,21.14894042015076,21.14894042015076,21.14894042015076,77.811354970932,155.99365234375,157.37152633666992,157.38284497261049,200041.8,200026.4,15.4,15.4
0001_SVD,1000132,6038,3706,2 user sample,SVD,0.8734381830420057,0.8734411273620099,0.8298728242587166,0.8298728242587166,0.6855728452438875,0.6855723259596557,0.6932880422554794,0.6932880422554794,0.8943995581433237,0.8943679827754629,0.9888888888888889,0.9888888888888889,0.8731238480478509,0.8731232133364148,0.875,0.875,0.6395827213320932,0.6394660026724065,0.9888888888888889,0.9888888888888889,0.44201012489549385,0.44190660982604096,0.7518253968253968,0.7518253968253968,0.7942515683014546,0.7942336101089709,,,0.7863814166808043,0.7863662721700114,0.8409501577675993,0.8409501577675993,0.9097050470360944,0.9097106766816587,0.892714463559631,0.892714463559631,53.80250616073609,53.80250616073609,53.80250616073609,53.80250616073609,3.2925299167633058,7.305693817138672,8.382981014251708,8.395720767974854,200041.8,200026.4,15.4,15.4
