,num_ratings,num_users,num_movies,name,algo_name,rmse_all,increase_from_baseline_rmse_all,rmse_non-boycott,increase_from_baseline_rmse_non-boycott,rmse_boycott,increase_from_baseline_rmse_boycott,rmse_all-like-boycott,increase_from_baseline_rmse_all-like-boycott,ndcg10_all,increase_from_baseline_ndcg10_all,ndcg10_non-boycott,increase_from_baseline_ndcg10_non-boycott,ndcg10_boycott,increase_from_baseline_ndcg10_boycott,ndcg10_all-like-boycott,increase_from_baseline_ndcg10_all-like-boycott,ndcg5_all,ndcg5_non-boycott,ndcg5_boycott,ndcg5_all-like-boycott,ndcgfull_all,ndcgfull_non-boycott,ndcgfull_boycott,ndcgfull_all-like-boycott,fit_time_all,fit_time_non-boycott,fit_time_boycott,fit_time_all-like-boycott,test_times_all,test_times_non-boycott,test_times_boycott,test_times_all-like-boycott,num_tested_all,num_tested_non-boycott,num_tested_boycott,num_tested_all-like-boycott
0000_KNNBaseline_item_msd,809514,6040,3674,Top 10% contributors excluded,KNNBaseline_item_msd,0.8933642815773088,0.008077109408654137,0.8987722600518382,0.013485087883183478,0.8845176591917125,-0.000769512976942166,0.8845176591917125,-0.000769512976942166,0.78600636085847,-0.005323614227876083,0.7952866832417074,0.00395670815536131,0.7282422152516139,-0.06308775983473214,0.7282422152516139,-0.06308775983473214,0.7787548327798699,0.7831582379588852,0.7424896614013846,0.7424896614013846,0.9069601824010911,0.9067627510591738,0.9087325868886502,0.9087325868886502,8.072837162017823,8.072837162017823,8.072837162017823,8.072837162017823,47.47799143791199,74.09622702598571,96.20367269515991,119.29418239593505,200041.8,123760.4,76281.4,76281.4
0000_SVD,809514,6040,3673,Top 10% contributors excluded,SVD,0.8913963674913132,0.018202816726840765,0.8986939331015416,0.025500382337069083,0.8794281793243648,0.006234628559892319,0.8794281793243648,0.006234628559892319,0.7844581405074067,-0.009037040832109322,0.7936849694690629,0.00018978812954684177,0.7270565012740733,-0.06643868006544273,0.7270565012740733,-0.06643868006544273,0.7766728024605939,0.7811054170166316,0.7401318282318116,0.7401318282318116,0.9061999260647694,0.9059343327758741,0.9085831602423655,0.9085831602423655,35.12513833045959,35.12513833045959,35.12513833045959,35.12513833045959,3.9610507488250732,7.318913507461548,9.189772129058838,10.861970949172974,200041.8,123760.4,76281.4,76281.4
0001_KNNBaseline_item_msd,993018,6040,3702,Bottom 10% contributors excluded,KNNBaseline_item_msd,0.8856320990282001,0.00034492685954534696,0.8837849005197839,-0.0015022716488708454,1.0040751549817317,0.11878798281307701,1.0040751549817317,0.11878798281307701,0.7914880040386232,0.00015802895227712277,0.7913375087927117,7.533706365636661e-06,0.9088030169307029,0.11747304184435681,0.9088030169307029,0.11747304184435681,0.7828994785144667,0.7774633778177831,0.8747443237564421,0.8747443237564421,0.9083982935230337,0.9065790452376181,0.9244260335790571,0.9244260335790571,13.72292127609253,13.72292127609253,13.72292127609253,13.72292127609253,62.68625621795654,125.80753741264343,127.27143998146057,127.38293857574463,200041.8,197161.6,2880.2,2880.2
0001_SVD,993018,6040,3704,Bottom 10% contributors excluded,SVD,0.8738921343534167,0.0006985835889442571,0.8720820808409726,-0.0011114699234998637,0.9899215321768706,0.11672798141239815,0.9899215321768706,0.11672798141239815,0.7946646225366274,0.001169441197111376,0.7945496756809715,0.0010544943414554364,0.8553586137070759,0.06186343236755987,0.8553586137070759,0.06186343236755987,0.7851641353699936,0.7802737268300426,0.8680494166424767,0.8680494166424767,0.9095087064794193,0.9081125820231023,0.9218275639026794,0.9218275639026794,42.99909086227417,42.99909086227417,42.99909086227417,42.99909086227417,3.6856367588043213,8.472349739074707,9.814160060882568,9.87639365196228,200041.8,197161.6,2880.2,2880.2
