,num_ratings,num_users,num_movies,name,algo_name,rmse_all,increase_from_baseline_rmse_all,rmse_non-boycott,increase_from_baseline_rmse_non-boycott,rmse_boycott,increase_from_baseline_rmse_boycott,rmse_all-like-boycott,increase_from_baseline_rmse_all-like-boycott,ndcg10_all,increase_from_baseline_ndcg10_all,ndcg10_non-boycott,increase_from_baseline_ndcg10_non-boycott,ndcg10_boycott,increase_from_baseline_ndcg10_boycott,ndcg10_all-like-boycott,increase_from_baseline_ndcg10_all-like-boycott,ndcg5_all,ndcg5_non-boycott,ndcg5_boycott,ndcg5_all-like-boycott,ndcgfull_all,ndcgfull_non-boycott,ndcgfull_boycott,ndcgfull_all-like-boycott,fit_time_all,fit_time_non-boycott,fit_time_boycott,fit_time_all-like-boycott,test_times_all,test_times_non-boycott,test_times_boycott,test_times_all-like-boycott,num_tested_all,num_tested_non-boycott,num_tested_boycott,num_tested_all-like-boycott
0000_KNNBaseline_item_msd,246440,1709,3481,male users excluded,KNNBaseline_item_msd,0.9897222251855627,0.10438762419436198,0.9326054956978161,0.047270894706615385,1.007692957520248,0.12235835652904725,1.007692957520248,0.12235835652904725,0.7624613038717438,-0.02917347444529328,0.7728347713218061,-0.01880000699523099,0.7586903501282141,-0.03294442818882304,0.7586903501282141,-0.03294442818882304,0.7555599038352021,0.7670077736108327,0.7511173030129346,0.7511173030129346,0.8984061669049023,0.9013000346753873,0.8972636342475473,0.8972636342475473,2.8323007106781004,2.8323007106781004,2.8323007106781004,2.8323007106781004,14.595298862457275,28.693008804321288,31.32913637161255,34.13288135528565,200041.8,49288.0,150753.8,150753.8
0000_SVD,246440,1709,3481,male users excluded,SVD,0.9894743510225515,0.11539799103180948,0.9347446000258393,0.06066824003509719,1.0067219481239935,0.13264558813325145,1.0067219481239935,0.13264558813325145,0.7574631863219238,-0.035159069076585614,0.7659371213312791,-0.026685134067230276,0.7543829177024115,-0.038239337696097886,0.7543829177024115,-0.038239337696097886,0.7499288418439025,0.759520804009463,0.7462059217241395,0.7462059217241395,0.8966855427360068,0.8986636771416656,0.8959045373175181,0.8959045373175181,10.360245847702027,10.360245847702027,10.360245847702027,10.360245847702027,2.770458698272705,4.926459169387817,7.1978684425354,10.434030103683472,200041.8,49288.0,150753.8,150753.8
0001_KNNBaseline_item_msd,753769,4331,3671,female users excluded,KNNBaseline_item_msd,0.9115085395817351,0.026173938590534296,0.8766671946432163,-0.008667406347984463,1.0106357628533267,0.12530116186212592,1.0106357628533267,0.12530116186212592,0.7847935157916412,-0.0068412625253958526,0.7956173261779944,0.003982547860957308,0.7551577764997603,-0.036477001817276755,0.7551577764997603,-0.036477001817276755,0.7759545096640219,0.7872425699290119,0.7468232421748363,0.7468232421748363,0.9057718682879298,0.9108138947050394,0.8929871087919615,0.8929871087919615,10.580735397338866,10.580735397338866,10.580735397338866,10.580735397338866,48.07319326400757,96.63874287605286,98.28707098960876,99.42014765739441,200041.8,150753.8,49288.0,49288.0
0001_SVD,753769,4331,3671,female users excluded,SVD,0.903706287896283,0.029629927905540976,0.8665590511186501,-0.00751730887209201,1.0088631939565602,0.13478683396581814,1.0088631939565602,0.13478683396581814,0.7860055408618544,-0.006616714536655022,0.7968482228798417,0.0042259674813323045,0.7563266889037406,-0.03629556649476884,0.7563266889037406,-0.03629556649476884,0.7771541478618464,0.7882392958568325,0.7485481850375171,0.7485481850375171,0.9065200573139245,0.9115758223332333,0.8937004245688136,0.8937004245688136,33.05624980926514,33.05624980926514,33.05624980926514,33.05624980926514,3.8135260581970214,7.916583156585693,9.64451265335083,10.748074865341186,200041.8,150753.8,49288.0,49288.0
