Name,# Ratings,"% change surfaced hits, similar users","% change surfaced hits, other users",Similar User Effect Ratio
male users,753769,-0.71,-0.64,1.11
female users,246440,-0.38,-0.09,4.24
fans of drama,283280,-0.11,-0.20,0.54
fans of horror,48464,-0.24,-0.03,7.16
under 18,27211,-0.27,-0.03,9.02
25-34,395556,-0.38,-0.30,1.28
56+,38780,-0.18,-0.03,6.97
artist,50068,0.15,-0.07,-2.26
lawyer,20563,-0.20,-0.04,5.47
power users,381407,-0.76,-0.45,1.71
